,Token,Frequency_x,Frequency_y,Difference
172,its,0.000633767749269,0.000488572824494,0.000145194924776
53,Dec,0.00173028655356,0.00158565237097,0.000144634182594
94,Brexit,0.00103615997103,0.000892560689708,0.000143599281319
130,set,0.000809814346289,0.000666579977604,0.000143234368685
113,share,0.000895322693412,0.000752427398962,0.00014289529445
116,Japan,0.000885262887868,0.00074359016441,0.000141672723458
184,Business,0.000598558429866,0.000458273734603,0.000140284695263
67,A,0.00143352229001,0.00129528609284,0.00013823619717
35,at,0.00260548963589,0.00248200044691,0.000123489188974
159,CORRECTED,0.000674006971445,0.000551695928434,0.000122311043012
211,low,0.000548259402146,0.00042923710679,0.000119022295355
63,bln,0.00152909044268,0.00141143260409,0.000117657838589
124,sources,0.000855083471237,0.000738540316095,0.000116543155141
179,report,0.000623707943725,0.000508772217755,0.000114935725971
68,Shares,0.00142849238724,0.0013217977965,0.000106694590743
224,Fed,0.000528139791058,0.000424187258475,0.000103952532583
89,Russia,0.00111663841538,0.00101375704927,0.000102881366107
69,.,0.00142346248447,0.00132306025858,0.000100402225893
218,Street,0.000538199596602,0.0004405992655,9.76003311022e-05
215,Partners,0.000543229499374,0.000445649113815,9.7580385559e-05
138,4,0.000779634929657,0.000684254446707,9.53804829498e-05
197,Falls,0.000573408916006,0.000480998052021,9.24108639846e-05
194,Down,0.000578438818778,0.000487310362415,9.11284563626e-05
229,State,0.000523109888286,0.000436811879263,8.62980090227e-05
169,6,0.000638797652041,0.000552958390512,8.5839261529e-05
182,million,0.000603588332638,0.000518871914385,8.47164182527e-05
132,buy,0.000809814346289,0.000725915695307,8.38986509814e-05
189,Asia,0.000588498624322,0.000510034679833,7.84639444883e-05
106,The,0.000925502110044,0.000847112054872,7.83900551726e-05
76,unit,0.00130777472071,0.0012321629889,7.56117318104e-05
122,STOCKS,0.00086514327678,0.000791563723405,7.35795533758e-05
55,shares,0.0016699277203,0.00159701452968,7.29131906211e-05
202,it,0.000563349110462,0.000493622672809,6.97264376527e-05
203,Notes,0.00055831920769,0.000494885134888,6.3434072802e-05
216,Trade,0.000543229499374,0.000483522976179,5.97065231952e-05
180,into,0.000618678040953,0.000559270700906,5.94073400471e-05
262,REFILE,0.000472810860566,0.00041913741016,5.3673450406e-05
187,Management,0.000593528527094,0.000542858693882,5.06698332116e-05
223,worth,0.000528139791058,0.000478473127863,4.96666631944e-05
85,year,0.0011669374431,0.00111854140181,4.83960412866e-05
131,Appoints,0.000809814346289,0.000762527095592,4.72872506963e-05
200,Brazil,0.000568379013234,0.000525184224779,4.31947884548e-05
170,may,0.000638797652041,0.000595882101191,4.291555085e-05
28,Group,0.00321913777407,0.00317635459025,4.27831838178e-05
98,sales,0.0010059805544,0.000963258566121,4.27219882751e-05
231,100,0.000513050082742,0.000470898355391,4.21517273513e-05
228,rises,0.000523109888286,0.000487310362415,3.57995258709e-05
237,Income,0.000502990277198,0.000469635893312,3.33543838861e-05
165,Holding,0.000653887360357,0.000621131342767,3.275601759e-05
102,Board,0.000985860943308,0.00095315886949,3.27020738175e-05
272,amid,0.00045772115225,0.000426712182633,3.10089696173e-05
266,Contract,0.000462751055022,0.000433024493027,2.97265619953e-05
33,2,0.00274129701073,0.00271176854525,2.95284654765e-05
119,10,0.000875203082324,0.00084837451695,2.6828565374e-05
163,Global,0.000663947165901,0.000640068273949,2.38788919521e-05
96,Corp,0.00102610016548,0.00100239489056,2.37052749203e-05
166,back,0.000653887360357,0.000636280887713,1.76064726445e-05
183,is,0.000603588332638,0.000590832252876,1.27560797613e-05
