,Token,Frequency_2016,Frequency_2018,StandardDeviation,Mean,MeanMinusStdev
49,market,0.0014235044306575404,0.0007444256102529538,0.0003395394102022933,0.001083965020455247,0.0007444256102529537
127,US,0.0008303775845502319,0.0007243059991650361,5.3035792692597864e-05,0.000777341791857634,0.0007243059991650361
153,A,0.0007117522153287702,0.001433522290014134,0.0003608850373426819,0.001072637252671452,0.0007117522153287702
40,stake,0.002016631276764849,0.0006991564853051391,0.000658737395729855,0.001357893881034994,0.0006991564853051391
131,high,0.0007947899737837934,0.0006890966797611802,5.284664701130657e-05,0.0007419433267724868,0.0006890966797611802
167,trade,0.0006761646045623317,0.0006941265825331596,8.980988985413975e-06,0.0006851455935477456,0.0006761646045623317
170,Holdings,0.0006643020676401855,0.001458671803874031,0.0003971848681169228,0.0010614869357571082,0.0006643020676401854
145,sell,0.0007354772891730626,0.0006589172631293037,3.828001302187944e-05,0.0006971972761511832,0.0006589172631293037
23,dividend,0.0031910224320573196,0.0006438275548133654,0.001273597438621977,0.0019174249934353425,0.0006438275548133654
183,net,0.0006405769937958931,0.0026658484691490913,0.001012635737676599,0.0016532127314724922,0.0006405769937958931
74,may,0.0011388035445260324,0.000638797652041386,0.0002500029462423232,0.0008888005982837092,0.0006387976520413859
117,top,0.0008659651953166704,0.000638797652041386,0.00011358377163764218,0.0007523814236790282,0.0006387976520413859
169,its,0.0006643020676401855,0.0006337677492694066,1.526715918538944e-05,0.0006490349084547961,0.0006337677492694066
190,profit,0.000628714456873747,0.003958533481547802,0.0016649095123370274,0.0022936239692107744,0.000628714456873747
189,rise,0.000628714456873747,0.0007494555130249332,6.0370528075593094e-05,0.0006890849849493402,0.000628714456873747
188,Wall,0.000628714456873747,0.0009355619155881717,0.00015342372935721235,0.0007821381862309594,0.000628714456873747
187,European,0.000628714456873747,0.0006840667769892008,2.7676160057726917e-05,0.000656390616931474,0.000628714456873747
115,first,0.0008659651953166704,0.0006237079437254478,0.00012112862579561132,0.000744836569521059,0.0006237079437254477
155,into,0.0007117522153287702,0.0006186780409534684,4.65370871876509e-05,0.0006652151281411193,0.0006186780409534684
67,against,0.0012099787660589095,0.000613648138181489,0.00029816531393871024,0.0009118134521201992,0.0006136481381814889
47,million,0.001459092041423979,0.0006035883326375301,0.00042775185439322444,0.0010313401870307545,0.0006035883326375301
46,is,0.0015421297998790022,0.0006035883326375301,0.00046927073362073603,0.001072859066258266,0.00060358833263753
75,North,0.0011388035445260324,0.0005935285270935713,0.00027263750871623054,0.0008661660358098019,0.0005935285270935713
203,loss,0.0005931268461073085,0.0007695751241128508,8.822413900277118e-05,0.0006813509851100797,0.0005931268461073086
211,Olympics,0.0005931268461073085,0.0008047844435167068,0.00010582879870469914,0.0006989556448120076,0.0005931268461073085
215,bond,0.0005812643091851623,0.0007846648324287891,0.00010170026162181338,0.0006829645708069758,0.0005812643091851625
43,bank,0.0017793805383219256,0.0005734089160056536,0.000602985811158136,0.0011763947271637896,0.0005734089160056536
106,hit,0.0009252778799274013,0.0005734089160056536,0.00017593448196087387,0.0007493433979665274,0.0005734089160056536
104,out,0.0009371404168495474,0.0005734089160056536,0.00018186575042194693,0.0007552746664276005,0.0005734089160056536
219,4,0.0005694017722630162,0.0007796349296568097,0.00010511657869689676,0.000674518350959913,0.0005694017722630162
51,Brazil,0.001328604135280371,0.0005683790132336742,0.00038011256102334843,0.0009484915742570227,0.0005683790132336743
180,win,0.0006405769937958931,0.0005583192076897154,4.112889305308887e-05,0.0005994481007428043,0.0005583192076897155
225,FY,0.00055753923534087,0.004476613467061682,0.001959537115860406,0.002517076351201276,0.0005575392353408702
229,it,0.00055753923534087,0.0005633491104616948,2.904937560412415e-06,0.0005604441729012824,0.00055753923534087
231,Beijing,0.00055753923534087,0.0005834687215496124,1.2964743104371243e-05,0.0005705039784452413,0.00055753923534087
227,000,0.00055753923534087,0.0006488574575853449,4.5659111122237474e-05,0.0006031983464631074,0.00055753923534087
212,Canada,0.0005812643091851623,0.0005532893049177359,1.3987502133713217e-05,0.0005672768070514491,0.0005532893049177359
238,10,0.0005456766984187238,0.0008752030823244186,0.0001647631919528474,0.0007104398903715712,0.0005456766984187238
240,Energy,0.0005456766984187238,0.0008601133740084805,0.00015721833779487832,0.0007028950362136021,0.0005456766984187238
166,business,0.0006761646045623317,0.0005432294993737771,6.646755259427726e-05,0.0006096970519680544,0.0005432294993737771
184,IPO,0.000628714456873747,0.0005381995966017976,4.525743013597468e-05,0.0005834570267377723,0.0005381995966017975
193,percent,0.0006168519199516009,0.0005381995966017976,3.932616167490161e-05,0.0005775257582766992,0.0005381995966017975
243,Financial,0.0005338141614965777,0.0011266982209233896,0.00029644202971340595,0.0008302561912099836,0.0005338141614965777
242,MARKETS,0.0005338141614965777,0.001458671803874031,0.0004624288211887267,0.0009962429826853043,0.0005338141614965776
196,stock,0.0006168519199516009,0.0005331696938298183,4.1841113060891305e-05,0.0005750108068907096,0.0005331696938298183
96,Korea,0.0009845905645381322,0.0005331696938298183,0.00022571043535415697,0.0007588801291839752,0.0005331696938298183
84,Fed,0.0010676283229931554,0.0005281397910578389,0.00026974426596765825,0.0007978840570254972,0.000528139791057839
186,worth,0.000628714456873747,0.0005281397910578389,5.028733290795407e-05,0.000578427123965793,0.000528139791057839
141,rises,0.0007473398260952087,0.0005231098882858595,0.00011211496890467461,0.000635224857190534,0.0005231098882858595
79,plans,0.0011032159337595938,0.0005231098882858595,0.00029005302273686715,0.0008131629110227266,0.0005231098882858595
255,State,0.0005219516245744314,0.0005231098882858595,5.791318557140193e-07,0.0005225307564301455,0.0005219516245744316
253,but,0.0005219516245744314,0.0005683790132336742,2.321369432962137e-05,0.0005451653189040528,0.0005219516245744314
254,50,0.0005219516245744314,0.0005583192076897154,1.818379155764198e-05,0.0005401354161320734,0.0005219516245744314
250,low,0.0005219516245744314,0.0005482594021457565,1.315388878566254e-05,0.0005351055133600939,0.0005219516245744313
263,CFO,0.0005100890876522853,0.0006840667769892008,8.698884466845776e-05,0.0005970779323207431,0.0005100890876522853
185,week,0.000628714456873747,0.0005080201799699212,6.0347138451912895e-05,0.0005683673184218341,0.0005080201799699212
165,billion,0.0006761646045623317,0.0005080201799699212,8.407221229620522e-05,0.0005920923922661265,0.0005080201799699212
216,20,0.0005812643091851623,0.0005029902771979417,3.9137015993610314e-05,0.0005421272931915521,0.0005029902771979417
105,court,0.0009252778799274013,0.0005029902771979417,0.0002111438013647298,0.0007141340785626715,0.0005029902771979417
95,record,0.0009845905645381322,0.0005029902771979417,0.00024080014367009524,0.000743790420868037,0.0005029902771979417
264,Capital,0.0004982265507301392,0.0013681335539784017,0.00043495350162413125,0.0009331800523542705,0.0004982265507301393
269,tax,0.0004982265507301392,0.0006689770686732626,8.53752589715617e-05,0.0005836018097017009,0.0004982265507301392
268,prices,0.0004982265507301392,0.0005029902771979417,2.3818632339012743e-06,0.0005006084139640404,0.0004982265507301391
138,RPT,0.0007710648999395011,0.0004979603744259623,0.00013655226275676938,0.0006345126371827318,0.0004979603744259624
58,banks,0.0012811539875917863,0.0004979603744259623,0.000391596806582912,0.0008895571810088744,0.0004979603744259624
235,calls,0.0005456766984187238,0.0004979603744259623,2.3858161996380748e-05,0.000521818536422343,0.0004979603744259622
53,could,0.001328604135280371,0.0004929304716539829,0.00041783683181319405,0.000910767303467177,0.0004929304716539829
111,bonds,0.000913415343005255,0.0004929304716539829,0.00021024243567563605,0.0007031729073296189,0.0004929304716539829
223,Shenzhen,0.0005694017722630162,0.0004929304716539829,3.823565030451663e-05,0.0005311661219584995,0.0004929304716539829
274,back,0.000486364013807993,0.0006538873603573243,8.376167327466566e-05,0.0005701256870826587,0.00048636401380799303
272,Australia,0.000486364013807993,0.0008047844435167068,0.0001592102148543569,0.0006455742286623499,0.00048636401380799303
270,higher,0.000486364013807993,0.0006890966797611802,0.00010136633297659362,0.0005877303467845866,0.0004863640138079929
152,debt,0.0007236147522509164,0.0004778407633380447,0.00012288699445643588,0.0006007277577944805,0.0004778407633380446
237,source,0.0005456766984187238,0.000457721152250127,4.39777730842984e-05,0.0005016989253344255,0.0004577211522501271
281,amid,0.0004745014768858468,0.000457721152250127,8.390162317859883e-06,0.0004661113145679869,0.000457721152250127
109,police,0.000913415343005255,0.0004476613467061682,0.00023287699814954343,0.0006805383448557116,0.00044766134670616825
289,revenue,0.00046263893996370065,0.0004476613467061682,7.488796628766229e-06,0.0004551501433349344,0.00044766134670616814
97,plan,0.0009845905645381322,0.00044263144393418875,0.0002709795603019717,0.0007136110042361605,0.0004426314439341888
178,group,0.0006405769937958931,0.00044263144393418875,9.89727749308522e-05,0.0005416042188650409,0.0004426314439341887
241,day,0.0005338141614965777,0.0004376015411622093,4.810631016718419e-05,0.0004857078513293935,0.00043760154116220936
54,chief,0.001316741598358225,0.0004376015411622093,0.0004395700285980078,0.0008771715697602171,0.0004376015411622093
143,than,0.0007473398260952087,0.0004275417356182505,0.0001598990452384791,0.0005874407808567296,0.0004275417356182505
210,raises,0.0005931268461073085,0.0004225118328462711,8.53075066305187e-05,0.0005078193394767898,0.00042251183284627115
149,about,0.0007236147522509164,0.0004225118328462711,0.00015055145970232267,0.0005730632925485938,0.00042251183284627115
271,Oil,0.000486364013807993,0.0004225118328462711,3.192609048086094e-05,0.000454437923327132,0.0004225118328462711
391,Partners,0.0,0.0005432294993737771,0.00027161474968688857,0.00027161474968688857,0.0
430,global,0.0,0.00044263144393418875,0.00022131572196709438,0.00022131572196709438,0.0
337,Percent,0.0,0.0010311300682557807,0.0005155650341278903,0.0005155650341278903,0.0
336,Revenue,0.0,0.0010663393876596365,0.0005331696938298183,0.0005331696938298183,0.0
428,past,0.0,0.0004476613467061682,0.0002238306733530841,0.0002238306733530841,0.0
335,Rises,0.0,0.0010663393876596365,0.0005331696938298183,0.0005331696938298183,0.0
334,Investment,0.0,0.00112166831815141,0.000560834159075705,0.000560834159075705,0.0
429,Medical,0.0,0.0004476613467061682,0.0002238306733530841,0.0002238306733530841,0.0
431,Bancorp,0.0,0.00044263144393418875,0.00022131572196709438,0.00022131572196709438,0.0
432,risk,0.0,0.0004376015411622093,0.00021880077058110465,0.00021880077058110465,0.0
333,Expects,0.0,0.001166937443099225,0.0005834687215496124,0.0005834687215496124,0.0
332,From,0.0,0.0012323261791349573,0.0006161630895674786,0.0006161630895674786,0.0
331,Jan,0.0,0.0012373560819069367,0.0006186780409534684,0.0006186780409534684,0.0
330,Agreement,0.0,0.0012423859846789162,0.0006211929923394581,0.0006211929923394581,0.0
329,Co,0.0,0.0013379541373465251,0.0006689770686732626,0.0006689770686732626,0.0
328,Qtr,0.0,0.0013379541373465251,0.0006689770686732626,0.0006689770686732626,0.0
338,Corp,0.0,0.0010261001654838012,0.0005130500827419006,0.0005130500827419006,0.0
339,Sees,0.0,0.0010009506516239042,0.0005004753258119521,0.0005004753258119521,0.0
340,Board,0.0,0.0009858609433079659,0.0004929304716539829,0.0004929304716539829,0.0
343,The,0.0,0.0009255021100442128,0.0004627510550221064,0.0004627510550221064,0.0
347,LIVE,0.0,0.0008701731795524392,0.0004350865897762196,0.0004350865897762196,0.0
420,month,0.0,0.0004627510550221064,0.0002313755275110532,0.0002313755275110532,0.0
346,Stake,0.0,0.0008902927906403569,0.00044514639532017844,0.00044514639532017844,0.0
345,No,0.0,0.0009104124017282745,0.00045520620086413727,0.00045520620086413727,0.0
344,Bln,0.0,0.0009104124017282745,0.00045520620086413727,0.00045520620086413727,0.0
421,Gets,0.0,0.0004627510550221064,0.0002313755275110532,0.0002313755275110532,0.0
422,GLOBAL,0.0,0.0004627510550221064,0.0002313755275110532,0.0002313755275110532,0.0
341,Posts,0.0,0.0009858609433079659,0.0004929304716539829,0.0004929304716539829,0.0
423,Halt,0.0,0.000457721152250127,0.0002288605761250635,0.0002288605761250635,0.0
342,Unit,0.0,0.00095065162390411,0.000475325811952055,0.000475325811952055,0.0
424,Pharmaceutical,0.0,0.000457721152250127,0.0002288605761250635,0.0002288605761250635,0.0
425,Chairman,0.0,0.000457721152250127,0.0002288605761250635,0.0002288605761250635,0.0
426,Bowl,0.0,0.0004526912494781476,0.0002263456247390738,0.0002263456247390738,0.0
427,Singapore,0.0,0.0004476613467061682,0.0002238306733530841,0.0002238306733530841,0.0
327,.,0.0,0.0014234624844701753,0.0007117312422350876,0.0007117312422350876,0.0
433,outlook,0.0,0.0004376015411622093,0.00021880077058110465,0.00021880077058110465,0.0
390,Trade,0.0,0.0005432294993737771,0.00027161474968688857,0.00027161474968688857,0.0
309,Per,0.0,0.0030078818576436918,0.0015039409288218459,0.0015039409288218459,0.0
314,And,0.0,0.0021477684836352113,0.0010738842418176056,0.0010738842418176056,0.0
313,2018,0.0,0.0022181871224429234,0.0011090935612214617,0.0011090935612214617,0.0
312,Reports,0.0,0.002550160705393565,0.0012750803526967824,0.0012750803526967824,0.0
311,Net,0.0,0.002877104385572227,0.0014385521927861135,0.0014385521927861135,0.0
310,Announces,0.0,0.002972672538239836,0.001486336269119918,0.001486336269119918,0.0
440,Q2,0.0,0.0004225118328462711,0.00021125591642313555,0.00021125591642313555,0.0
308,For,0.0,0.00354105155147351,0.001770525775736755,0.001770525775736755,0.0
