,Token,MeanMinusStdev_HIGH,MeanMinusStdev_LOW,Difference
203,Shares,0.0,-0.0001819911383010991,0.0001819911383010991
220,Earnings,0.0,-0.0001793937386107885,0.0001793937386107885
351,2015,0.0,-0.00017283454182605507,0.00017283454182605507
169,From,0.0,-0.0001705625796637323,0.0001705625796637323
89,European,0.000628714456873747,0.0004636154268202609,0.0001650990300534861
2,s,0.015069588704850336,0.014911897064429164,0.00015769164042117242
32,New,0.0012692914506696401,0.0011151660630896033,0.00015412538758003682
161,Revenue,0.0,-0.00015116866197607945,0.00015116866197607945
39,Russia,0.001116638415379431,0.0009708472350259754,0.00014579118035345563
187,Unit,0.0,-0.0001440691028225636,0.0001440691028225636
96,loss,0.0005931268461073086,0.0004526211779745581,0.00014050566813275048
51,Technology,0.000901552806083109,0.000766004288622505,0.00013554851746060397
286,Sales,0.0,-0.0001354111038548615,0.0001354111038548615
180,Stake,0.0,-0.0001347184639374454,0.0001347184639374454
170,Jan,0.0,-0.0001343721439787373,0.0001343721439787373
176,Board,0.0,-0.0001317747442884267,0.0001317747442884267
182,Bln,0.0,-0.0001270994248458675,0.0001270994248458675
173,Qtr,0.0,-0.00012363622525878666,0.00012363622525878666
98,bond,0.0005812643091851625,0.0004587869679091966,0.00012247734127596583
56,Japan,0.0008659651953166704,0.0007450607882928009,0.00012090440702386949
268,By,0.0,-0.00012017302567170576,0.00012017302567170576
34,sees,0.001245566376825348,0.0011263285828661217,0.00011923779395922639
64,set,0.0008098143462886863,0.0006909821356375581,0.00011883221065112819
283,Qtrly,0.0,-0.00011774878596074921,0.00011774878596074921
177,The,0.0,-0.00011688298606397901,0.00011688298606397901
62,pay,0.0008349638601485832,0.0007181574538188602,0.00011680640632972302
214,Y,0.0,-0.00011272714655948196,0.00011272714655948196
163,Rises,0.0,-0.00011047606682787942,0.00011047606682787942
272,Offering,0.0,-0.00010805182711692271,0.00010805182711692271
126,low,0.0005219516245744313,0.0004141990169976608,0.00010775260757677055
277,Appoints,0.0,-0.00010458862752984186,0.00010458862752984186
252,Feb,0.0,-0.00010424230757113381,0.00010424230757113381
175,Sees,0.0,-0.00010337650767436362,0.00010337650767436362
80,sell,0.0006589172631293037,0.0005558982620310892,0.0001030190010982145
23,CEO,0.0017805855812807136,0.0016805538592501797,0.00010003172203053388
245,About,0.0,-9.662326847955594e-05,9.662326847955594e-05
288,Its,0.0,-9.506482866536951e-05,9.506482866536951e-05
522,co,0.0,-9.493241569750346e-05,9.493241569750346e-05
84,top,0.0006387976520413859,0.0005443113832536136,9.448626878777228e-05
246,Stock,0.0,-9.108214914022657e-05,9.108214914022657e-05
249,Year,0.0,-9.056266920216444e-05,9.056266920216444e-05
247,Yuan,0.0,-9.004318926410235e-05,9.004318926410235e-05
264,Issue,0.0,-8.98700292847483e-05,8.98700292847483e-05
521,qtr,0.0,-8.93746635126813e-05,8.93746635126813e-05
275,Signs,0.0,-8.935054934668615e-05,8.935054934668615e-05
279,Dividend,0.0,-8.796526951185377e-05,8.796526951185377e-05
160,Percent,0.0,-8.70994696150836e-05,8.70994696150836e-05
308,placement,0.0,-8.306356263376851e-05,8.306356263376851e-05
368,Rio,0.0,-8.059062622583002e-05,8.059062622583002e-05
243,tech,0.0,-8.034623042027592e-05,8.034623042027592e-05
