,Token,Frequency_2016,Frequency_2017,Frequency_2018,StandardDeviation,Mean,MeanMinusStdev
70,yuan,0.0011717942068319822,0.0013548150329347702,0.0007023158866361828,0.0002748053152974548,0.001076308375467645,0.0008015030601701903
124,firm,0.0007927276135414854,0.0008514736877223877,0.0008277294378212155,2.4129323649282663e-05,0.0008239769130283628,0.0007998475893790802
82,sources,0.0010645760183090392,0.0009825672729488115,0.0007349234099442913,0.00014012841705657872,0.0009273555670673807,0.000787227150010802
129,high,0.0007696646622344909,0.0008551000662902002,0.0009468723114469964,7.236013649847687e-05,0.0008572123466572291,0.0007848522101587522
87,rise,0.000981402183276367,0.000866885796635591,0.0007675309332523998,8.738567342150329e-05,0.0008719396377214528,0.0007845539642999495
65,buy,0.0012468714738526243,0.0010244519454070465,0.0007211279193139377,0.00021547936136753824,0.0009974837795245362,0.000782004418156998
118,off,0.0008042590891949828,0.000776770289225449,0.0008590828256174736,3.421602913251846e-05,0.0008133707346793018,0.0007791547055467833
36,Q1,0.00217454188759461,0.0019742004923171542,0.0004552511908016685,0.0007676301305037514,0.001534664523571144,0.0007670343930673925
152,Technology,0.0007048921181382506,0.0010025123550717805,0.0011914287362578102,0.00020027344786677535,0.0009662777364892805,0.000766004288622505
72,bank,0.0011401439864213193,0.0008806660351932787,0.0007349234099442913,0.00016758859533868553,0.0009185778105196299,0.0007509892151809443
91,Japan,0.0009504880145031615,0.0008059626366963401,0.000741194087503543,8.748745794154718e-05,0.0008325482462343481,0.0007450607882928009
137,trade,0.0007441482054693053,0.0008360615788091843,0.0010936061663334848,0.00014791068970952572,0.0008912719835373248,0.0007433612938277991
133,minister,0.0007578878360351744,0.0007372427628362922,0.0007813264238827534,1.8009119970279123e-05,0.00075881900758474,0.0007408098876144609
113,billion,0.0008248685350437865,0.0007985285606323244,0.000718619648290237,4.517626522862108e-05,0.0007806722479887827,0.0007354959827601616
131,5,0.0007598506404017272,0.0007366988060511203,0.00084528733498712,4.6698685244352633e-05,0.0007806122604799891,0.0007339135752356365
92,market,0.000949261261774066,0.0007593636720999488,0.0007587519846694475,8.966310611795463e-05,0.0008224589728478207,0.0007327958667298661
75,dividend,0.0011158542823852292,0.0011414026542190014,0.0006283218914370136,0.00023607729917314677,0.0009618596093470814,0.0007257823101739346
154,Capital,0.0006940966941222106,0.0008833858191191382,0.0011312302316889944,0.00017899191643754017,0.0009029042483101145,0.0007239123318725743
166,Corp,0.0006607290198908141,0.0009376001787079358,0.0009957835964091591,0.00014617513009553468,0.0008647042650026365,0.0007185291349071019
101,pay,0.0008746746958450621,0.0009900013490128272,0.0006772331763991763,0.000129145619933495,0.0008473030737523552,0.0007181574538188602
116,Energy,0.0008106382033862792,0.0007640779642381051,0.0007048241576598835,4.330188825306997e-05,0.000759846775094756,0.000716544886841686
136,tax,0.000751263371298059,0.0010451223032435781,0.0007474647650627946,0.00013943039335865225,0.0008479501465348105,0.0007085197531761583
105,growth,0.0008570094565460875,0.0007970780092051993,0.0006784873119110266,7.418122552999916e-05,0.0007775249258874378,0.0007033437003574386
146,German,0.0007174049959750243,0.0007073251396518387,0.0008114256761671612,4.687858254169445e-05,0.000745385270598008,0.0006985066880563135
81,first,0.0010645760183090392,0.0008986166091039508,0.0006446256530910678,0.00017269505573786793,0.0008692727601680193,0.0006965777044301513
111,set,0.0008351732579681883,0.0007890999763560117,0.000664691821280673,7.200621623073301e-05,0.000762988351868291,0.0006909821356375581
143,Canada,0.0007262376156245116,0.0006777701543241664,0.0007574978491575972,3.280041044610432e-05,0.000720501873035425,0.0006877014625893207
77,into,0.0011067763121899229,0.0012641555687394562,0.0005706316578918986,0.00029687160255678863,0.0009805211796070927,0.0006836495770503041
