,Date,Volatility,PeriodStart,PeriodEnd,DataPointsUsed
92,1990-05-16,1.1355406729,1990-05-09,1990-05-16,6
93,1990-05-17,1.18461834346,1990-05-10,1990-05-17,6
94,1990-05-18,1.36810753981,1990-05-11,1990-05-18,6
95,1990-05-21,1.1231362926,1990-05-14,1990-05-21,6
96,1990-05-22,0.931194231108,1990-05-15,1990-05-22,6
97,1990-05-23,0.951913118322,1990-05-16,1990-05-23,6
98,1990-05-24,0.906706554005,1990-05-17,1990-05-24,6
99,1990-05-25,1.09021623316,1990-05-18,1990-05-25,6
100,1990-05-29,0.96371967585,1990-05-21,1990-05-29,6
101,1990-05-30,1.17355730761,1990-05-22,1990-05-30,6
102,1990-05-31,1.19550753197,1990-05-23,1990-05-31,6
103,1990-06-01,1.20908636456,1990-05-24,1990-06-01,6
104,1990-06-04,1.27984167294,1990-05-25,1990-06-04,6
105,1990-06-05,1.23272877953,1990-05-29,1990-06-05,6
106,1990-06-06,1.01882910667,1990-05-30,1990-06-06,6
107,1990-06-07,0.809722149039,1990-05-31,1990-06-07,6
108,1990-06-08,0.608899283222,1990-06-01,1990-06-08,6
109,1990-06-11,0.612035975765,1990-06-04,1990-06-11,6
110,1990-06-12,0.626732298179,1990-06-05,1990-06-12,6
111,1990-06-13,0.461034529499,1990-06-06,1990-06-13,6
112,1990-06-14,0.434158787578,1990-06-07,1990-06-14,6
113,1990-06-15,1.88778206611,1990-06-08,1990-06-15,6
114,1990-06-18,1.92591511897,1990-06-11,1990-06-18,6
115,1990-06-19,1.89513333009,1990-06-12,1990-06-19,6
116,1990-06-20,1.7945636368,1990-06-13,1990-06-20,6
117,1990-06-21,1.79612801421,1990-06-14,1990-06-21,6
118,1990-06-22,1.90359366545,1990-06-15,1990-06-22,6
119,1990-06-25,0.785390349955,1990-06-18,1990-06-25,6
120,1990-06-26,0.976586062213,1990-06-19,1990-06-26,6
121,1990-06-27,1.02786650826,1990-06-20,1990-06-27,6
122,1990-06-28,0.960121150855,1990-06-21,1990-06-28,6
123,1990-06-29,1.13385103447,1990-06-22,1990-06-29,6
124,1990-07-02,1.00264260695,1990-06-25,1990-07-02,6
125,1990-07-03,0.933964611707,1990-06-26,1990-07-03,6
126,1990-07-05,0.880594963608,1990-06-27,1990-07-05,6
127,1990-07-06,0.863898380745,1990-06-28,1990-07-06,6
128,1990-07-09,0.836049191478,1990-06-29,1990-07-09,6
129,1990-07-10,0.668533121817,1990-07-02,1990-07-10,6
130,1990-07-11,0.745960464867,1990-07-03,1990-07-11,6
131,1990-07-12,0.498841725583,1990-07-05,1990-07-12,6
132,1990-07-13,0.497047621701,1990-07-06,1990-07-13,6
133,1990-07-16,0.528952692788,1990-07-09,1990-07-16,6
134,1990-07-17,0.475935720463,1990-07-10,1990-07-17,6
135,1990-07-18,0.480698745956,1990-07-11,1990-07-18,6
136,1990-07-19,0.471778821763,1990-07-12,1990-07-19,6
137,1990-07-20,0.43679195626,1990-07-13,1990-07-20,6
138,1990-07-23,0.615070976811,1990-07-16,1990-07-23,6
139,1990-07-24,0.856054871851,1990-07-17,1990-07-24,6
140,1990-07-25,0.860162986402,1990-07-18,1990-07-25,6
141,1990-07-26,0.840644600874,1990-07-19,1990-07-26,6
142,1990-07-27,0.830427725403,1990-07-20,1990-07-27,6
143,1990-07-30,0.781367888811,1990-07-23,1990-07-30,6
144,1990-07-31,0.599036501209,1990-07-24,1990-07-31,6
145,1990-08-01,0.539084391901,1990-07-25,1990-08-01,6
146,1990-08-02,0.706429449516,1990-07-26,1990-08-02,6
147,1990-08-03,0.8928476763,1990-07-27,1990-08-03,6
148,1990-08-06,1.10281549262,1990-07-30,1990-08-06,6
149,1990-08-07,1.28792078507,1990-07-31,1990-08-07,6
150,1990-08-08,1.19223415935,1990-08-01,1990-08-08,6
151,1990-08-09,1.04645236569,1990-08-02,1990-08-09,6
152,1990-08-10,1.05324727891,1990-08-03,1990-08-10,6
153,1990-08-13,1.00220922628,1990-08-06,1990-08-13,6
154,1990-08-14,0.937858516571,1990-08-07,1990-08-14,6
155,1990-08-15,0.825392739238,1990-08-08,1990-08-15,6
156,1990-08-16,0.968914461744,1990-08-09,1990-08-16,6
157,1990-08-17,1.00581349935,1990-08-10,1990-08-17,6
158,1990-08-20,1.05548929435,1990-08-13,1990-08-20,6
159,1990-08-21,1.15297249934,1990-08-14,1990-08-21,6
160,1990-08-22,1.03978588401,1990-08-15,1990-08-22,6
161,1990-08-23,0.876760832356,1990-08-16,1990-08-23,6
162,1990-08-24,0.849421049079,1990-08-17,1990-08-24,6
163,1990-08-27,0.917478421754,1990-08-20,1990-08-27,6
164,1990-08-28,1.60446814965,1990-08-21,1990-08-28,6
165,1990-08-29,1.57841911017,1990-08-22,1990-08-29,6
166,1990-08-30,1.57992816112,1990-08-23,1990-08-30,6
167,1990-08-31,1.50199551023,1990-08-24,1990-08-31,6
168,1990-09-04,1.57534492326,1990-08-27,1990-09-04,6
169,1990-09-05,1.36901524695,1990-08-28,1990-09-05,6
170,1990-09-06,0.79913681609,1990-08-29,1990-09-06,6
171,1990-09-07,0.800658431659,1990-08-30,1990-09-07,6
172,1990-09-10,0.707932382716,1990-08-31,1990-09-10,6
173,1990-09-11,0.748553882608,1990-09-04,1990-09-11,6
174,1990-09-12,0.606030659602,1990-09-05,1990-09-12,6
175,1990-09-13,0.659437445516,1990-09-06,1990-09-13,6
176,1990-09-14,0.591502074757,1990-09-07,1990-09-14,6
177,1990-09-17,0.58211691985,1990-09-10,1990-09-17,6
178,1990-09-18,0.609522102126,1990-09-11,1990-09-18,6
179,1990-09-19,0.504968187877,1990-09-12,1990-09-19,6
180,1990-09-20,0.664406623577,1990-09-13,1990-09-20,6
181,1990-09-21,0.975380792445,1990-09-14,1990-09-21,6
182,1990-09-24,1.17316073779,1990-09-17,1990-09-24,6
183,1990-09-25,1.17319211134,1990-09-18,1990-09-25,6
184,1990-09-26,1.13121868856,1990-09-19,1990-09-26,6
185,1990-09-27,1.15092745041,1990-09-20,1990-09-27,6
186,1990-09-28,1.15525189654,1990-09-21,1990-09-28,6
187,1990-10-01,0.400147522498,1990-09-24,1990-10-01,6
188,1990-10-02,1.11524191559,1990-09-25,1990-10-02,6
189,1990-10-03,1.12072805833,1990-09-26,1990-10-03,6
190,1990-10-04,1.15922686816,1990-09-27,1990-10-04,6
191,1990-10-05,1.16278002568,1990-09-28,1990-10-05,6
192,1990-10-08,1.08481798787,1990-10-01,1990-10-08,6
193,1990-10-09,1.06492591717,1990-10-02,1990-10-09,6
194,1990-10-10,0.709346994684,1990-10-03,1990-10-10,6
195,1990-10-11,0.739832878247,1990-10-04,1990-10-11,6
196,1990-10-12,0.655977992275,1990-10-05,1990-10-12,6
197,1990-10-15,0.439130152978,1990-10-08,1990-10-15,6
198,1990-10-16,0.271448710399,1990-10-09,1990-10-16,6
199,1990-10-17,1.2318051074,1990-10-10,1990-10-17,6
200,1990-10-18,1.27608673956,1990-10-11,1990-10-18,6
201,1990-10-19,1.30427999385,1990-10-12,1990-10-19,6
202,1990-10-22,1.28522070031,1990-10-15,1990-10-22,6
203,1990-10-23,1.27988695728,1990-10-16,1990-10-23,6
204,1990-10-24,1.49391625744,1990-10-17,1990-10-24,6
205,1990-10-25,1.12914179511,1990-10-18,1990-10-25,6
206,1990-10-26,1.08521994265,1990-10-19,1990-10-26,6
207,1990-10-29,0.978158678849,1990-10-22,1990-10-29,6
208,1990-10-30,0.977869284051,1990-10-23,1990-10-30,6
209,1990-10-31,1.59686528716,1990-10-24,1990-10-31,6
210,1990-11-01,1.48495806777,1990-10-25,1990-11-01,6
211,1990-11-02,1.54005288259,1990-10-26,1990-11-02,6
212,1990-11-05,1.47664320408,1990-10-29,1990-11-05,6
213,1990-11-06,1.47704818234,1990-10-30,1990-11-06,6
214,1990-11-07,1.5494619724,1990-10-31,1990-11-07,6
215,1990-11-08,0.405115362353,1990-11-01,1990-11-08,6
216,1990-11-09,0.471420707232,1990-11-02,1990-11-09,6
217,1990-11-12,0.490607347334,1990-11-05,1990-11-12,6
218,1990-11-13,0.558450857839,1990-11-06,1990-11-13,6
219,1990-11-14,0.56371987292,1990-11-07,1990-11-14,6
220,1990-11-15,0.517747552465,1990-11-08,1990-11-15,6
221,1990-11-16,1.40259807903,1990-11-09,1990-11-16,6
222,1990-11-19,1.30894558119,1990-11-12,1990-11-19,6
223,1990-11-20,1.25600685112,1990-11-13,1990-11-20,6
224,1990-11-21,1.28431332191,1990-11-14,1990-11-21,6
225,1990-11-23,1.24679273574,1990-11-15,1990-11-23,6
226,1990-11-26,1.16010366571,1990-11-16,1990-11-26,6
227,1990-11-27,0.557062457464,1990-11-19,1990-11-27,6
228,1990-11-28,0.979113236754,1990-11-20,1990-11-28,6
229,1990-11-29,0.800926896795,1990-11-21,1990-11-29,6
230,1990-11-30,1.06431976571,1990-11-23,1990-11-30,6
231,1990-12-03,1.06742368671,1990-11-26,1990-12-03,6
232,1990-12-04,1.08317167198,1990-11-27,1990-12-04,6
233,1990-12-05,1.13227332573,1990-11-28,1990-12-05,6
234,1990-12-06,0.612228423131,1990-11-29,1990-12-06,6
235,1990-12-07,0.631046598154,1990-11-30,1990-12-07,6
236,1990-12-10,0.468769996138,1990-12-03,1990-12-10,6
237,1990-12-11,0.489606472399,1990-12-04,1990-12-11,6
238,1990-12-12,0.567630667992,1990-12-05,1990-12-12,6
239,1990-12-13,0.558646849272,1990-12-06,1990-12-13,6
240,1990-12-14,0.533177629708,1990-12-07,1990-12-14,6
241,1990-12-17,0.604345865336,1990-12-10,1990-12-17,6
242,1990-12-18,0.66760420163,1990-12-11,1990-12-18,6
243,1990-12-19,1.13579726615,1990-12-12,1990-12-19,6
244,1990-12-20,1.3939438795,1990-12-13,1990-12-20,6
245,1990-12-21,1.43451134068,1990-12-14,1990-12-21,6
246,1990-12-24,1.39339323378,1990-12-17,1990-12-24,6
247,1990-12-26,1.39761135976,1990-12-18,1990-12-26,6
248,1990-12-27,1.30950075855,1990-12-19,1990-12-27,6
249,1990-12-28,1.17287763454,1990-12-20,1990-12-28,6
250,1990-12-31,0.570331520341,1990-12-21,1990-12-31,6
251,1991-01-02,0.696189495391,1990-12-24,1991-01-02,6
252,1991-01-03,0.815729088441,1990-12-26,1991-01-03,6
253,1991-01-04,0.819311027137,1990-12-27,1991-01-04,6
254,1991-01-07,0.929513439046,1990-12-28,1991-01-07,6
255,1991-01-08,0.859192585559,1990-12-31,1991-01-08,6
256,1991-01-09,0.866906733627,1991-01-02,1991-01-09,6
257,1991-01-10,0.855097290413,1991-01-03,1991-01-10,6
258,1991-01-11,0.883857246111,1991-01-04,1991-01-11,6
259,1991-01-14,0.853907590022,1991-01-07,1991-01-14,6
260,1991-01-15,0.729862887569,1991-01-08,1991-01-15,6
261,1991-01-16,0.566206076657,1991-01-09,1991-01-16,6
262,1991-01-17,0.867633473439,1991-01-10,1991-01-17,6
263,1991-01-18,0.887784680214,1991-01-11,1991-01-18,6
264,1991-01-21,0.786834181969,1991-01-14,1991-01-21,6
265,1991-01-22,0.787115790683,1991-01-15,1991-01-22,6
266,1991-01-23,0.734517061433,1991-01-16,1991-01-23,6
267,1991-01-24,0.74262116114,1991-01-17,1991-01-24,6
268,1991-01-25,0.540120192904,1991-01-18,1991-01-25,6
269,1991-01-28,1.6458741301,1991-01-21,1991-01-28,6
270,1991-01-29,1.75685754267,1991-01-22,1991-01-29,6
271,1991-01-30,1.8441618255,1991-01-23,1991-01-30,6
272,1991-01-31,1.88231050011,1991-01-24,1991-01-31,6
273,1991-02-01,1.73524101918,1991-01-25,1991-02-01,6
274,1991-02-04,1.89200913982,1991-01-28,1991-02-04,6
275,1991-02-05,1.17574103462,1991-01-29,1991-02-05,6
276,1991-02-06,0.678834713607,1991-01-30,1991-02-06,6
277,1991-02-07,0.701689394016,1991-01-31,1991-02-07,6
278,1991-02-08,0.699935633744,1991-02-01,1991-02-08,6
279,1991-02-11,0.604764101544,1991-02-04,1991-02-11,6
280,1991-02-12,0.596995854595,1991-02-05,1991-02-12,6
281,1991-02-13,0.591210301378,1991-02-06,1991-02-13,6
282,1991-02-14,0.53911787618,1991-02-07,1991-02-14,6
283,1991-02-15,0.396558766547,1991-02-08,1991-02-15,6
284,1991-02-19,1.05525256542,1991-02-11,1991-02-19,6
285,1991-02-20,0.948317505788,1991-02-12,1991-02-20,6
286,1991-02-21,1.38460546806,1991-02-13,1991-02-21,6
287,1991-02-22,1.3678363014,1991-02-14,1991-02-22,6
288,1991-02-25,1.24458485353,1991-02-15,1991-02-25,6
289,1991-02-26,1.22626277563,1991-02-19,1991-02-26,6
290,1991-02-27,1.22444681466,1991-02-20,1991-02-27,6
291,1991-02-28,1.17669536524,1991-02-21,1991-02-28,6
292,1991-03-01,0.834825185561,1991-02-22,1991-03-01,6
293,1991-03-04,0.746113013477,1991-02-25,1991-03-04,6
294,1991-03-05,0.859154593405,1991-02-26,1991-03-05,6
295,1991-03-06,1.00764555321,1991-02-27,1991-03-06,6
296,1991-03-07,1.14823342705,1991-02-28,1991-03-07,6
297,1991-03-08,1.12661609494,1991-03-01,1991-03-08,6
298,1991-03-11,1.05954064829,1991-03-04,1991-03-11,6
299,1991-03-12,1.11685432155,1991-03-05,1991-03-12,6
300,1991-03-13,0.999703853772,1991-03-06,1991-03-13,6
301,1991-03-14,0.937491909239,1991-03-07,1991-03-14,6
302,1991-03-15,1.26545064831,1991-03-08,1991-03-15,6
303,1991-03-18,1.26456492217,1991-03-11,1991-03-18,6
304,1991-03-19,1.3798423522,1991-03-12,1991-03-19,6
305,1991-03-20,1.3459988738,1991-03-13,1991-03-20,6
